rank,score,role,editorial_bucket,title,primary_phylum,primary_genus,matched_groups,inputs,outputs,claims,strategic_note,paper_url,paper_arxiv_id,abstract
1,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,CineScene: Implicit 3D as Effective Scene Representation for Cinematic Video Generation,Generative Models,Video Generation,vggt_lineage; general_reconstruction; dynamic_4d; surface_occupancy; generation_editing; data_benchmark,video / temporal; panorama; multimodal / language,mesh / surface; editable / generative 3D,foundation/prior; robustness; dynamic; benchmark/data; editing/generation,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Cinematic video production requires control over scene-subject composition and camera movement, but live-action shooting remains costly due to the need for constructing physical sets. To address this, we introduce the task of cinematic video generation with decoupled scene context: given multiple images of a static environment, the goal is to synthesize high-quality videos featuring dynamic subject while preserving the underlying scene consistency and following a user-specified camera trajectory. We present CineScene, a framework that leverages implicit 3D-aware scene representation for cinematic video generation. Our key innovation is a novel context conditioning mechanism that injects 3D-aware features in an implicit way: By encoding scene images into visual representations through VGGT, CineScene injects spatial priors into a pretrained text-to-video generation model by additional context concatenation, enabling camera-controlled video synthesis with consistent scenes and dynamic subjects.  To further enhance the model's robustness, we introduce a simple yet effective random-shuffling strategy for the input scene images during training. To address the lack of training data, we construct a scene-decoupled dataset with Unreal Engine 5, containing paired videos of scenes with and without dynamic subjects, panoramic images representing the underlying static scene, along with their camera trajectories. Experiments show that CineScene achieves state-of-the-art performance in scene-consistent cinematic video generation, handling large camera movements and demonstrating generalization across diverse environments."
2,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Deformable Gaussian Occupancy: Decoupling Rigid and Nonrigid Motion with Factorized Distillation,Autonomous Driving,Autonomous Driving,vggt_lineage; gaussian_radiance; dynamic_4d; surface_occupancy; robotics_mapping; data_benchmark,video / temporal; LiDAR / driving,Gaussian map; occupancy / voxel; radiance field / NVS; 4D scene,foundation/prior; dynamic; benchmark/data,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Understanding dynamic 3D environments is essential for safe autonomous driving, particularly when reasoning about human-centric, nonrigid agents. However, existing self-supervised occupancy prediction frameworks predominantly assume rigid-body motion and rely on simple frame-to-frame offsets, limiting their ability to capture fine-grained deformations and maintain temporal coherence. To address this issue, we propose DeGO, a deformable Gaussian occupancy framework that unifies decoupled Gaussian deformation with factorized 4D foundation-model distillation. DeGO disentangles rigid and nonrigid motion, enabling each Gaussian primitive to evolve through both deformation and offset-based updates. In parallel, a factorized 4D distillation strategy transfers cross-camera and cross-frame knowledge from the VGGT foundation model, producing foundation-aligned features that enhance temporal consistency. Experiments on the Occ3D-NuScenes benchmark demonstrate that our method achieves state-of-the-art performance under self-supervision, delivering 13.5\% gains on human-centric instances and 10.9\% overall improvements. These results highlight the effectiveness of deformation-aware and foundation-guided occupancy modeling for dynamic scene understanding."
3,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Dynamic Visual SLAM using a General 3D Prior,Robotics & Embodied AI,Embodied AI,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; dynamic_4d; surface_occupancy; robotics_mapping,single image; video / temporal; RGB-D / depth; multimodal / language,camera pose; depth / normals; mesh / surface; 4D scene,foundation/prior; unified pipeline; robustness; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Reliable incremental estimation of camera poses and 3D reconstruction is key to enable various applications including robotics, interactive visualization, and augmented reality. However, this task is particularly challenging in dynamic natural environments, where scene dynamics can severely deteriorate camera pose estimation accuracy. In this work, we propose a novel monocular visual SLAM system that can robustly estimate camera poses in dynamic scenes. To this end, we leverage the complementary strengths of geometric patch-based online bundle adjustment and recent feed-forward reconstruction models. Specifically, we propose a feed-forward reconstruction model to precisely filter out dynamic regions, while also utilizing its depth prediction to enhance the robustness of the patch-based visual SLAM. By aligning depth prediction with estimated patches from bundle adjustment, we robustly handle the inherent scale ambiguities of the batch-wise application of the feed-forward reconstruction model. Extensive experiments on multiple tasks show the superior performance of our proposed method compared to state-of-the-art approaches."
4,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,DynamicVGGT: Learning Dynamic Point Maps for 4D Scene Reconstruction in Autonomous Driving,Autonomous Driving,Autonomous Driving,vggt_lineage; general_reconstruction; gaussian_radiance; depth_correspondence; dynamic_4d; surface_occupancy; robotics_mapping,video / temporal; LiDAR / driving,point map / point cloud; Gaussian map; mesh / surface; 4D scene,unified pipeline; efficiency; robustness; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Dynamic scene reconstruction in autonomous driving remains a fundamental challenge due to significant temporal variations, moving objects, and complex scene dynamics. Existing feed-forward 3D models have demonstrated strong performance in static reconstruction but still struggle to capture dynamic motion. To address these limitations, we propose DynamicVGGT, a unified feed-forward framework that extends VGGT from static 3D perception to dynamic 4D reconstruction. Our goal is to model point motion within feed-forward 3D models in a dynamic and temporally coherent manner. To this end, we jointly predict the current and future point maps within a shared reference coordinate system, allowing the model to implicitly learn dynamic point representations through temporal correspondence. To efficiently capture temporal dependencies, we introduce a Motion-aware Temporal Attention (MTA) module that learns motion continuity. Furthermore, we design a Dynamic 3D Gaussian Splatting Head (DGSH) that explicitly models point motion by predicting Gaussian velocities using learnable motion tokens under scene flow supervision. It refines dynamic geometry through continuous 3D Gaussian optimization. Extensive experiments on autonomous driving datasets demonstrate that DynamicVGGT significantly outperforms existing methods in reconstruction accuracy and temporal consistency, achieving robust feed-forward 4D dynamic scene reconstruction under complex driving scenarios."
5,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,E-RayZer: Self-supervised 3D Reconstruction as Spatial Visual Pre-training,Learning Algorithms,Self-supervised,vggt_lineage; general_reconstruction; gaussian_radiance; pose_calibration_localization; surface_occupancy,multi-view images; multimodal / language,camera pose; mesh / surface; radiance field / NVS,foundation/prior,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Self-supervised pre-training has revolutionized foundation models for language, 2D images and videos, but remains largely unexplored for learning 3D-aware representations from multi-view images. In this paper, we present E-RayZer, a self-supervised large 3D Vision model that learns truly 3D-aware representations directly from unlabeled images. Unlike prior self-supervised methods such as RayZer that infer 3D indirectly through latent-space view synthesis, E-RayZer operates directly in 3D space, performing self-supervised 3D reconstruction with explicit geometry. This formulation eliminates shortcut solutions and yields representations that are geometrically grounded. To ensure convergence and scalability, we introduce a novel fine-grained learning curriculum that organizes training from easy to hard samples and harmonizes heterogeneous data sources in an entirely unsupervised manner. Experiments demonstrate that E-RayZer significantly outperforms RayZer on pose estimation, matches or sometimes surpasses fully supervised reconstruction models such as VGGT. Furthermore, its learned representations outperform leading visual pre-training models (e.g., DINOv2, CroCo v2, VideoMAE V2, and RayZer) when transferring to 3D downstream tasks, establishing E-RayZer as a new paradigm for 3D-aware visual pre-training."
6,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Emergent Extreme-View Geometry in 3D Foundation Models,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; surface_occupancy; data_benchmark,RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface,foundation/prior; benchmark/data,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"3D foundation models (3DFMs) have recently transformed 3D vision, enabling joint prediction of depths, poses, and point maps directly from images. Yet their ability to reason under extreme, non-overlapping views remains largely unexplored. In this work, we study their internal representations and find that 3DFMs exhibit an emergent understanding of extreme-view geometry, despite never being trained for such conditions. To further enhance these capabilities, we introduce a lightweight alignment scheme that refines their internal 3D representation by tuning only a small subset of backbone bias terms, leaving all decoder heads frozen. This targeted adaptation substantially improves relative pose estimation under extreme viewpoints without degrading per-image depth or point quality. Additionally, we contribute MegaUnScene, a new benchmark of Internet scenes unseen by existing 3DFMs, with dedicated test splits for both relative pose estimation and dense 3D reconstruction. All code and data will be released."
7,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Flow3r: Factored Flow Prediction for Visual Geometry Learning,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; depth_correspondence; dynamic_4d; surface_occupancy; data_benchmark,single image; RGB-D / depth,depth / normals; mesh / surface; 4D scene,scale; dynamic,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"We propose Flow3r, a scalable framework for visual geometry learning that leverages flow prediction to guide learning using unlabeled monocular videos. Current 3D/4D reconstruction systems primarily rely on dense geometry and pose supervision, and cannot easily generalize to diverse dynamic real-world scenes. In this work, we propose a mechanism to augment training directly from unlabeled videos, leveraging dense 2D correspondences (or ‘flow’) between arbitrary image pairs as supervision. Our key insight is that a factored flow prediction module that computes from two images using ‘geometry latents’ from one image and the ‘pose latent’ from the othercan guide visual geometry learning. We first highlight the benefits and scalability of flow supervision in controlled settings and then leverage large-scale unlabeled data to improve off-the-shelf visual geometry models. We evaluate Flow3r across diverse 3D benchmarks and demonstrate competitive or state-of-the-art performance, even surpassing supervised models trained with more labeled data."
8,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,FRM: Linear-Time 3D Reconstruction via Test-Time Training,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; gaussian_radiance; depth_correspondence; surface_occupancy,,point map / point cloud; mesh / surface; radiance field / NVS,unified pipeline; efficiency,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"Feed-forward transformer models such as VGGT and $\pi^3$ are highly accurate, but their computational cost grows quadratically with the number of input images, making them slow to evaluate on large collections. More efficient approaches ameliorate this cost at the expense of reconstruction quality. We introduce Fast Reconstruction Model, a stateful feed-forward reconstruction model that uses a bidirectional architecture that scales linearly in the number of input views, while matching or surpassing the reconstruction quality of quadratic-time methods. FRM employs test-time training layers to compress images into a compact hidden scene state during a single forward pass, enabling our model to reconstruct 3D scenes at speeds up to 75 FPS on a single H100 GPU---over 20 times faster than SOTA methods such as VGGT. This hidden state also serves as an implicit scene representation which can be queried at real-time rates to produce colored point maps from novel views."
9,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,GaussianGrow: Geometry-aware Gaussian Growing from 3D Point Clouds with Text Guidance,3D Vision & Geometry,3D Gaussian Splatting,vggt_lineage; general_reconstruction; gaussian_radiance; pose_calibration_localization; surface_occupancy,multi-view images; multimodal / language,camera pose; point map / point cloud; Gaussian map; radiance field / NVS; editable / generative 3D,foundation/prior; editing/generation,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"3D Gaussian Splatting has demonstrated superior performance in rendering efficiency and quality, yet the generation of 3D Gaussians still remains a challenge without proper geometric priors. Existing methods have explored to predict point maps as geometric references for inferring Gaussian primitives, while the unreliable estimated geometries may lead to poor generations. In this work, we introduce GaussianGrow, a novel approach that generates 3D Gaussians by learning to grow them from easily accessible 3D point clouds, naturally enforcing geometric accuracy in Gaussian generation. Specifically, we design a text-guided Gaussian growing scheme that leverages a multi-view diffusion model to synthesize consistent appearances from input point clouds for supervision. To mitigate artifacts caused by fusing neighboring views, we constrain on novel views generated at non-preset camera poses identified in overlapping regions across different views. For completing the hard-to-observe regions, we propose to iteratively detect the camera pose observing the largest un-grown regions in point clouds and inpaints them by inpainting the rendered view with a pretrained 2D diffusion model. The process continues until complete Gaussians are generated. We extensively evaluate GaussianGrow on text-guided Gaussian generation from synthetic and even real-scanned point clouds."
10,100,core trend paper,A. thesis anchor: VGGT/feed-forward geometry,Gen3R: 3D Scene Generation Meets Feed-Forward Reconstruction,3D Vision & Geometry,3D Reconstruction,vggt_lineage; general_reconstruction; pose_calibration_localization; depth_correspondence; dynamic_4d; surface_occupancy; generation_editing,video / temporal; RGB-D / depth,camera pose; depth / normals; point map / point cloud; mesh / surface; editable / generative 3D,foundation/prior; unified pipeline; robustness; dynamic; editing/generation,Use as evidence that multi-view geometry is becoming a feed-forward foundation-model problem.,,,"We present Gen3R, a method that bridges the strong priors of foundational reconstruction models and video diffusion models for scene-level 3D generation. We repurpose the VGGT reconstruction model to produce geometric latents by training an adapter on its tokens, which are regularized to align with the appearance latents of pre-trained video diffusion models. By jointly generating these disentangled yet aligned latents, \method{} produces both RGB videos and corresponding 3D geometry, including camera poses, depth maps, and global point clouds. Experiments demonstrate that our approach achieves state-of-the-art results in single- and multi-image conditioned 3D scene generation. Additionally, our method can enhance the robustness of reconstruction by leveraging generative priors, demonstrating the mutual benefit of tightly coupling reconstruction and generative models."
